paper_identity,row_key,paper_id,use_case_key,split_set,label_positive,title
doi:10.1016/j.ijpsycho.2005.10.009,synergy_walker_2018__doi:10.1016/j.ijpsycho.2005.10.009,doi:10.1016/j.ijpsycho.2005.10.009,synergy_walker_2018,large_set_b,0,Blunted hypothalamic–pituitary–adrenocortical axis responsivity to stress in persons with a family history of alcoholism
doi:10.1016/j.jad.2012.02.015,synergy_brouwer_2019__doi:10.1016/j.jad.2012.02.015,doi:10.1016/j.jad.2012.02.015,synergy_brouwer_2019,large_set_a,0,"Association of TPH1, TPH2, and 5HTTLPR with PTSD and depressive symptoms"
doi:10.1016/j.jad.2012.02.015,synergy_walker_2018__doi:10.1016/j.jad.2012.02.015,doi:10.1016/j.jad.2012.02.015,synergy_walker_2018,large_set_b,0,"Association of TPH1, TPH2, and 5HTTLPR with PTSD and depressive symptoms"
doi:10.1016/j.janxdis.2008.01.005,synergy_van_dis_2020__doi:10.1016/j.janxdis.2008.01.005,doi:10.1016/j.janxdis.2008.01.005,synergy_van_dis_2020,large_set_a,0,An integrated approach to panic prevention targeting the empirically supported risk factors of smoking and anxiety sensitivity: Theoretical basis and evidence from a pilot project evaluating feasibility and short-term efficacy
doi:10.1016/j.janxdis.2008.01.005,synergy_walker_2018__doi:10.1016/j.janxdis.2008.01.005,doi:10.1016/j.janxdis.2008.01.005,synergy_walker_2018,large_set_b,0,An integrated approach to panic prevention targeting the empirically supported risk factors of smoking and anxiety sensitivity: Theoretical basis and evidence from a pilot project evaluating feasibility and short-term efficacy
doi:10.1016/j.jaut.2006.09.005,synergy_leenaars_2020__doi:10.1016/j.jaut.2006.09.005,doi:10.1016/j.jaut.2006.09.005,synergy_leenaars_2020,large_set_a,0,Second-generation peptidomimetic inhibitors of antigen presentation effectively treat autoimmune diseases in HLA-DR-transgenic mouse models
doi:10.1016/j.jaut.2006.09.005,synergy_walker_2018__doi:10.1016/j.jaut.2006.09.005,doi:10.1016/j.jaut.2006.09.005,synergy_walker_2018,large_set_b,0,Second-generation peptidomimetic inhibitors of antigen presentation effectively treat autoimmune diseases in HLA-DR-transgenic mouse models
doi:10.1016/j.jbspin.2008.09.010,synergy_leenaars_2020__doi:10.1016/j.jbspin.2008.09.010,doi:10.1016/j.jbspin.2008.09.010,synergy_leenaars_2020,large_set_a,0,"Prospective cohort study of effects of infliximab on rheumatoid factor, anti-cyclic citrullinated peptide antibodies and antinuclear antibodies in patients with long-standing rheumatoid arthritis"
doi:10.1016/j.jbspin.2008.09.010,synergy_walker_2018__doi:10.1016/j.jbspin.2008.09.010,doi:10.1016/j.jbspin.2008.09.010,synergy_walker_2018,large_set_b,0,"Prospective cohort study of effects of infliximab on rheumatoid factor, anti-cyclic citrullinated peptide antibodies and antinuclear antibodies in patients with long-standing rheumatoid arthritis"
doi:10.1016/j.jbtep.2011.05.001,synergy_brouwer_2019__doi:10.1016/j.jbtep.2011.05.001,doi:10.1016/j.jbtep.2011.05.001,synergy_brouwer_2019,large_set_a,0,"Schema therapy, motivational interviewing, and collaborative-mapping as treatment for depression among low income, second generation Latinas"
doi:10.1016/j.jbtep.2011.05.001,synergy_walker_2018__doi:10.1016/j.jbtep.2011.05.001,doi:10.1016/j.jbtep.2011.05.001,synergy_walker_2018,large_set_b,0,"Schema therapy, motivational interviewing, and collaborative-mapping as treatment for depression among low income, second generation Latinas"
doi:10.1016/j.jdent.2012.10.017,synergy_van_dis_2020__doi:10.1016/j.jdent.2012.10.017,doi:10.1016/j.jdent.2012.10.017,synergy_van_dis_2020,large_set_a,0,Durable bonding to mechanically and/or chemically pre-treated dental zirconia
doi:10.1016/j.jdent.2012.10.017,synergy_wassenaar_2017__doi:10.1016/j.jdent.2012.10.017,doi:10.1016/j.jdent.2012.10.017,synergy_wassenaar_2017,large_set_b,0,Durable bonding to mechanically and/or chemically pre-treated dental zirconia
doi:10.1016/j.jprot.2011.07.010,synergy_moran_2021__doi:10.1016/j.jprot.2011.07.010,doi:10.1016/j.jprot.2011.07.010,synergy_moran_2021,large_set_a,0,"Green systems biology — From single genomes, proteomes and metabolomes to ecosystems research and biotechnology"
doi:10.1016/j.jprot.2011.07.010,synergy_walker_2018__doi:10.1016/j.jprot.2011.07.010,doi:10.1016/j.jprot.2011.07.010,synergy_walker_2018,large_set_b,0,"Green systems biology — From single genomes, proteomes and metabolomes to ecosystems research and biotechnology"
doi:10.1016/j.jpsychires.2005.01.005,synergy_brouwer_2019__doi:10.1016/j.jpsychires.2005.01.005,doi:10.1016/j.jpsychires.2005.01.005,synergy_brouwer_2019,large_set_a,0,Creativity in familial bipolar disorder
doi:10.1016/j.jpsychires.2005.01.005,synergy_walker_2018__doi:10.1016/j.jpsychires.2005.01.005,doi:10.1016/j.jpsychires.2005.01.005,synergy_walker_2018,large_set_b,0,Creativity in familial bipolar disorder
doi:10.1016/j.knee.2005.05.006,synergy_jeyaraman_2020__doi:10.1016/j.knee.2005.05.006,doi:10.1016/j.knee.2005.05.006,synergy_jeyaraman_2020,large_set_b,0,Autologous osteochondral transplantation for the treatment of chondral defects of the knee
doi:10.1016/j.knee.2005.05.006,synergy_van_dis_2020__doi:10.1016/j.knee.2005.05.006,doi:10.1016/j.knee.2005.05.006,synergy_van_dis_2020,large_set_a,0,Autologous osteochondral transplantation for the treatment of chondral defects of the knee
doi:10.1016/j.plefa.2008.05.003,synergy_moran_2021__doi:10.1016/j.plefa.2008.05.003,doi:10.1016/j.plefa.2008.05.003,synergy_moran_2021,large_set_a,0,Synergistic effects of stress and omega-3 fatty acid deprivation on emotional response and brain lipid composition in adult rats
doi:10.1016/j.plefa.2008.05.003,synergy_walker_2018__doi:10.1016/j.plefa.2008.05.003,doi:10.1016/j.plefa.2008.05.003,synergy_walker_2018,large_set_b,0,Synergistic effects of stress and omega-3 fatty acid deprivation on emotional response and brain lipid composition in adult rats
doi:10.1016/j.psyneuen.2010.11.008,synergy_brouwer_2019__doi:10.1016/j.psyneuen.2010.11.008,doi:10.1016/j.psyneuen.2010.11.008,synergy_brouwer_2019,large_set_a,0,Self-assessed parental depressive problems are associated with blunted cortisol responses to a social stress test in daughters. The TRAILS Study
doi:10.1016/j.psyneuen.2010.11.008,synergy_walker_2018__doi:10.1016/j.psyneuen.2010.11.008,doi:10.1016/j.psyneuen.2010.11.008,synergy_walker_2018,large_set_b,0,Self-assessed parental depressive problems are associated with blunted cortisol responses to a social stress test in daughters. The TRAILS Study
doi:10.1016/j.psyneuen.2011.07.014,synergy_brouwer_2019__doi:10.1016/j.psyneuen.2011.07.014,doi:10.1016/j.psyneuen.2011.07.014,synergy_brouwer_2019,large_set_a,0,Cortisol levels in response to starting school in children at increased risk for social phobia
doi:10.1016/j.psyneuen.2011.07.014,synergy_walker_2018__doi:10.1016/j.psyneuen.2011.07.014,doi:10.1016/j.psyneuen.2011.07.014,synergy_walker_2018,large_set_b,0,Cortisol levels in response to starting school in children at increased risk for social phobia
doi:10.1016/j.schres.2007.08.002,synergy_brouwer_2019__doi:10.1016/j.schres.2007.08.002,doi:10.1016/j.schres.2007.08.002,synergy_brouwer_2019,large_set_a,0,"Cognition, functioning and quality of life in schizophrenia treatment: Results of a one-year randomized controlled trial of olanzapine and quetiapine"
doi:10.1016/j.schres.2007.08.002,synergy_walker_2018__doi:10.1016/j.schres.2007.08.002,doi:10.1016/j.schres.2007.08.002,synergy_walker_2018,large_set_b,0,"Cognition, functioning and quality of life in schizophrenia treatment: Results of a one-year randomized controlled trial of olanzapine and quetiapine"
doi:10.1016/j.schres.2007.10.020,synergy_brouwer_2019__doi:10.1016/j.schres.2007.10.020,doi:10.1016/j.schres.2007.10.020,synergy_brouwer_2019,large_set_a,0,Depression in schizophrenia: Comparison of first- and second-generation antipsychotic drugs
doi:10.1016/j.schres.2007.10.020,synergy_walker_2018__doi:10.1016/j.schres.2007.10.020,doi:10.1016/j.schres.2007.10.020,synergy_walker_2018,large_set_b,0,Depression in schizophrenia: Comparison of first- and second-generation antipsychotic drugs
doi:10.1016/j.schres.2010.10.015,synergy_brouwer_2019__doi:10.1016/j.schres.2010.10.015,doi:10.1016/j.schres.2010.10.015,synergy_brouwer_2019,large_set_a,0,A randomized controlled trial of cognitive behavioral therapy for individuals at clinical high risk of psychosis
doi:10.1016/j.schres.2010.10.015,synergy_van_dis_2020__doi:10.1016/j.schres.2010.10.015,doi:10.1016/j.schres.2010.10.015,synergy_van_dis_2020,large_set_a,0,A randomized controlled trial of cognitive behavioral therapy for individuals at clinical high risk of psychosis
doi:10.1016/j.schres.2010.10.015,synergy_walker_2018__doi:10.1016/j.schres.2010.10.015,doi:10.1016/j.schres.2010.10.015,synergy_walker_2018,large_set_b,0,A randomized controlled trial of cognitive behavioral therapy for individuals at clinical high risk of psychosis
doi:10.1016/s0006-3223(99)00059-1,synergy_brouwer_2019__doi:10.1016/s0006-3223(99)00059-1,doi:10.1016/s0006-3223(99)00059-1,synergy_brouwer_2019,large_set_a,0,Pharmacologic treatment of schizophrenia
doi:10.1016/s0006-3223(99)00059-1,synergy_walker_2018__doi:10.1016/s0006-3223(99)00059-1,doi:10.1016/s0006-3223(99)00059-1,synergy_walker_2018,large_set_b,0,Pharmacologic treatment of schizophrenia
doi:10.1016/s0035-1040(07)73255-5,synergy_jeyaraman_2020__doi:10.1016/s0035-1040(07)73255-5,doi:10.1016/s0035-1040(07)73255-5,synergy_jeyaraman_2020,large_set_b,0,Greffe de chondrocytes autologues dans le traitement des pertes de substance condylienne du genou
doi:10.1016/s0035-1040(07)73255-5,synergy_van_dis_2020__doi:10.1016/s0035-1040(07)73255-5,doi:10.1016/s0035-1040(07)73255-5,synergy_van_dis_2020,large_set_a,0,Greffe de chondrocytes autologues dans le traitement des pertes de substance condylienne du genou
doi:10.1016/s0301-0082(99)00050-7,synergy_brouwer_2019__doi:10.1016/s0301-0082(99)00050-7,doi:10.1016/s0301-0082(99)00050-7,synergy_brouwer_2019,large_set_a,0,Conventional and new antidepressant drugs in the elderly
doi:10.1016/s0301-0082(99)00050-7,synergy_walker_2018__doi:10.1016/s0301-0082(99)00050-7,doi:10.1016/s0301-0082(99)00050-7,synergy_walker_2018,large_set_b,0,Conventional and new antidepressant drugs in the elderly
doi:10.1017/s0033291712001298,synergy_brouwer_2019__doi:10.1017/s0033291712001298,doi:10.1017/s0033291712001298,synergy_brouwer_2019,large_set_a,0,Intergenerational transmission of maltreatment and psychopathology: the role of antenatal depression
doi:10.1017/s0033291712001298,synergy_walker_2018__doi:10.1017/s0033291712001298,doi:10.1017/s0033291712001298,synergy_walker_2018,large_set_b,0,Intergenerational transmission of maltreatment and psychopathology: the role of antenatal depression
doi:10.1017/s0033291798007685,synergy_brouwer_2019__doi:10.1017/s0033291798007685,doi:10.1017/s0033291798007685,synergy_brouwer_2019,large_set_a,0,Acute tryptophan depletion in healthy young women with a family history of major affective disorder
doi:10.1017/s0033291798007685,synergy_walker_2018__doi:10.1017/s0033291798007685,doi:10.1017/s0033291798007685,synergy_walker_2018,large_set_b,0,Acute tryptophan depletion in healthy young women with a family history of major affective disorder
doi:10.1017/s1041610203009505,synergy_brouwer_2019__doi:10.1017/s1041610203009505,doi:10.1017/s1041610203009505,synergy_brouwer_2019,large_set_a,0,"Depression in Later-Life Puerto Rican Primary Care Patients: The Role of Illness, Stress, Social Integration, and Religiosity"
doi:10.1017/s1041610203009505,synergy_walker_2018__doi:10.1017/s1041610203009505,doi:10.1017/s1041610203009505,synergy_walker_2018,large_set_b,0,"Depression in Later-Life Puerto Rican Primary Care Patients: The Role of Illness, Stress, Social Integration, and Religiosity"
doi:10.1017/s1041610210001249,synergy_brouwer_2019__doi:10.1017/s1041610210001249,doi:10.1017/s1041610210001249,synergy_brouwer_2019,large_set_a,0,"Relations between attachment styles, ageism and quality of life in late life"
doi:10.1017/s1041610210001249,synergy_walker_2018__doi:10.1017/s1041610210001249,doi:10.1017/s1041610210001249,synergy_walker_2018,large_set_b,0,"Relations between attachment styles, ageism and quality of life in late life"
doi:10.1017/s1092852900019842,synergy_brouwer_2019__doi:10.1017/s1092852900019842,doi:10.1017/s1092852900019842,synergy_brouwer_2019,large_set_a,0,From Clinical Research to Clinical Practice: A 4-Year Review of Ziprasidone
